id,p,k,valid,catK
CHECK-ctrnact-04_36-4j2_5b2-1,5,4,1,4
CHECK-ctrnact-06_36-4e2_4i_4j_5b2-1,7,6,1,6
CHECK-ctrnact-07_36-4e2_4j3_5b2-3,9,7,1,7
CHECK-ctrnact-08_36-4e_4j3_5b4-1,10,8,1,8
gen-p5-h5-0,5,6,1,
gen-p5-h5-1,5,6,1,
gen-p5-h5-2,5,6,1,
gen-p5-h5-3,5,6,1,
gen-p5-h5-4,5,6,1,
gen-p5-h5-5,5,6,1,
gen-p6-h6-0,6,7,1,
gen-p6-h6-1,6,7,1,
gen-p6-h6-2,6,7,1,
gen-p6-h6-3,6,7,1,
gen-p6-h6-4,6,7,1,
gen-p6-h6-5,6,7,1,
gen-p6-h6-6,6,7,1,
gen-p6-h6-7,6,7,1,
gen-p7-h7-0,7,8,1,
gen-p7-h7-1,7,8,1,
gen-p7-h7-2,7,8,1,
gen-p7-h7-3,7,8,1,
gen-p7-h7-4,7,8,1,
gen-p7-h7-5,7,8,1,
gen-p7-h7-6,7,8,1,
gen-p7-h7-7,7,8,1,
gen-p7-h7-8,7,8,1,
gen-p7-h7-9,7,8,1,
gen-p7-h7-10,7,8,1,
gen-p7-h7-11,7,8,1,
gen-p7-h7-12,7,8,1,
gen-p7-h7-13,7,8,1,
gen-p8-h8-0,8,9,1,
gen-p8-h8-1,8,9,1,
gen-p8-h8-2,8,9,1,
gen-p8-h8-3,8,9,1,
gen-p8-h8-4,8,9,1,
gen-p8-h8-5,8,9,1,
gen-p8-h8-6,8,9,1,
gen-p8-h8-7,8,9,1,
gen-p8-h8-8,8,9,1,
gen-p8-h8-9,8,9,1,
gen-p8-h8-10,8,9,1,
gen-p8-h8-11,8,9,1,
gen-p8-h8-12,8,9,1,
gen-p8-h8-13,8,9,1,
gen-p8-h8-14,8,9,1,
gen-p8-h8-15,8,9,1,
gen-p8-h8-16,8,9,1,
gen-p8-h8-17,8,9,1,
gen-p8-h8-18,8,9,1,
gen-p8-h8-19,8,9,1,
gen-p8-h8-20,8,9,1,
gen-p8-h8-21,8,9,1,
gen-p8-h8-22,8,9,1,
gen-p8-h8-23,8,9,1,
gen-p9-h9-0,9,10,1,
gen-p9-h9-1,9,10,1,
gen-p9-h9-2,9,10,1,
gen-p9-h9-3,9,10,1,
gen-p9-h9-4,9,10,1,
gen-p9-h9-5,9,10,1,
gen-p9-h9-6,9,10,1,
gen-p9-h9-7,9,10,1,
gen-p9-h9-8,9,10,1,
gen-p9-h9-9,9,10,1,
gen-p9-h9-10,9,10,1,
gen-p9-h9-11,9,10,1,
gen-p9-h9-12,9,10,1,
gen-p9-h9-13,9,10,1,
gen-p9-h9-14,9,10,1,
gen-p9-h9-15,9,10,1,
gen-p9-h9-16,9,10,1,
gen-p9-h9-17,9,10,1,
gen-p9-h9-18,9,10,1,
gen-p9-h9-19,9,10,1,
gen-p9-h9-20,9,10,1,
gen-p9-h9-21,9,10,1,
gen-p9-h9-22,9,10,1,
gen-p9-h9-23,9,10,1,
gen-p9-h9-24,9,10,1,
gen-p9-h9-25,9,10,1,
gen-p9-h9-26,9,10,1,
gen-p9-h9-27,9,10,1,
gen-p10-h10-0,10,11,1,
gen-p10-h10-1,10,11,1,
gen-p10-h10-2,10,11,1,
gen-p10-h10-3,10,11,1,
gen-p10-h10-4,10,11,1,
gen-p10-h10-5,10,11,1,
gen-p10-h10-6,10,11,1,
gen-p10-h10-7,10,11,1,
gen-p10-h10-8,10,11,1,
gen-p10-h10-9,10,11,1,
gen-p10-h10-10,10,11,1,
gen-p10-h10-11,10,11,1,
gen-p10-h10-12,10,11,1,
gen-p10-h10-13,10,11,1,
gen-p10-h10-14,10,11,1,
gen-p10-h10-15,10,11,1,
gen-p10-h10-16,10,11,1,
gen-p10-h10-17,10,11,1,
gen-p10-h10-18,10,11,1,
gen-p10-h10-19,10,11,1,
gen-p10-h10-20,10,11,1,
gen-p10-h10-21,10,11,1,
gen-p10-h10-22,10,11,1,
gen-p10-h10-23,10,11,1,
gen-p10-h10-24,10,11,1,
gen-p10-h10-25,10,11,1,
gen-p10-h10-26,10,11,1,
gen-p10-h10-27,10,11,1,
gen-p10-h10-28,10,11,1,
gen-p10-h10-29,10,11,1,
gen-p10-h10-30,10,11,1,
gen-p10-h10-31,10,11,1,
gen-p10-h10-32,10,11,1,
gen-p10-h10-33,10,11,1,
gen-p10-h10-34,10,11,1,
gen-p10-h10-35,10,11,1,
