k,solve_s,prune_s,total_s,solve_mean,prune_mean,raw_blocks,kept_at_k,kept_total
1,0.0027,0.0027,0.0053,0.1268,0.0724,11,10,10
2,0.0046,0.0029,0.0075,0.0853,0.0031,35,20,30
3,0.0155,0.0038,0.0193,0.1070,0.0041,124,61,91
4,0.0634,0.0077,0.0711,0.1402,0.0082,427,151,242
5,0.2209,0.0201,0.2410,0.3032,0.0203,1162,332,574
6,0.6623,0.0542,0.7165,0.7580,0.0544,2775,673,1247
7,1.8703,0.1661,2.0364,1.9624,0.1666,6678,1472,2719
8,4.8430,0.4696,5.3126,4.9405,0.4737,14849,2850,5569
9,13.6178,1.3922,15.0099,14.0864,1.3950,32963,5960,11529
10,31.6620,4.5040,36.1659,35.0197,4.6058,70919,11866,23395
