id,k,lattice,group,orbifold
ctrnact-12_346-4d2_4e2_4j2_4k2_4u2_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4e2_4j2_4k2_5d2_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4e2_4j2_5b2_5d4-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k2_4u2_5b4-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k2_4u2_5b4-3,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k2_5b4_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k2_5b4_5d2-10,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k2_5b4_5d2-2,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k2_5b4_5d2-5,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k2_5b4_5d2-6,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k2_5b4_5d2-9,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k4_4u2_5b2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k4_4u2_5b2-3,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k4_5b2_5d2-10,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k4_5b2_5d2-11,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k4_5b2_5d2-2,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k4_5b2_5d2-3,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k4_5b2_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k4_5b2_6j2-3,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k6_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_4k6_5d2-3,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_5b6_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j2_5b6_5d2-3,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j4_4k2_4u2_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j4_4k2_5d2_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4d2_4j4_5b2_5d4-1,12,rectangular,pmg,22*
ctrnact-12_346-4e2_4g_4j2_4k2_4u_5b4-10,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4g_4j2_4k2_4u_5b4-2,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4g_4j3_4k2_5b2_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4g_4j3_4k2_5b2_5d2-11,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4g_4j3_4k2_5b2_5d2-3,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4g_4j3_4k2_5b2_5d2-9,12,rectangular,pgg,22×
