k,max_weight,ceiling,attained,top_group,top_lattice
1,5,2,N/A(k<4),p6m,hexagonal
2,6,4,N/A(k<4),p6m,hexagonal
3,7,6,N/A(k<4),p6m,hexagonal
4,10,10,yes,pgg,rectangular
5,12,12,yes,pmg,rectangular
6,14,14,yes,pmg,rectangular
7,18,18,yes,pgg,rectangular
8,20,20,yes,pmg,rectangular
9,22,22,yes,pgg,rectangular
10,26,26,yes,pgg,rectangular
11,28,28,yes,pmg,rectangular
12,30,30,yes,pmg,rectangular
13,34,34,yes,pgg,rectangular
14,36,36,yes,pmg,rectangular
15,38,38,yes,pmg,rectangular
16,42,42,yes,pgg,rectangular
