id,k,weight
ctrnact-12_34-4o_5d3_5f7_6j-1,12,7
ctrnact-12_34-4p2_4s2_5c2_6i6-1,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-1,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-10,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-11,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-13,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-15,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-18,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-2,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-3,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-4,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-5,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-6,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-7,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-8,12,22
ctrnact-12_34-4p2_4s2_5c4_6i4-9,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-1,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-10,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-11,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-12,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-13,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-14,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-15,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-16,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-17,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-18,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-2,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-20,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-21,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-23,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-24,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-25,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-26,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-28,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-3,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-31,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-34,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-4,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-40,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-5,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-6,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-7,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-8,12,22
ctrnact-12_34-4p2_4s2_5c6_6i2-9,12,22
ctrnact-12_34-4p2_4s2_5c8-1,12,22
ctrnact-12_34-4p2_4s2_5c8-2,12,22
ctrnact-12_34-4p2_4s2_5c8-3,12,22
ctrnact-12_34-4p2_4s2_5c8-4,12,22
ctrnact-12_34-4p2_4s2_5c8-5,12,22
ctrnact-12_34-4p2_4s2_5c8-6,12,22
ctrnact-12_34-4p2_4s3_5c2_6i5-1,12,22
ctrnact-12_34-4p2_4s3_5c2_6i5-2,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-1,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-10,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-11,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-12,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-13,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-14,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-16,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-17,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-19,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-2,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-22,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-25,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-29,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-3,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-4,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-5,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-6,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-7,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-8,12,22
ctrnact-12_34-4p2_4s3_5c4_6i3-9,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-1,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-10,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-11,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-12,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-13,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-14,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-15,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-16,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-17,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-18,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-19,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-2,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-20,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-22,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-25,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-26,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-28,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-3,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-31,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-32,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-33,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-35,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-37,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-4,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-43,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-5,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-6,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-7,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-8,12,22
ctrnact-12_34-4p2_4s3_5c6_6i-9,12,22
ctrnact-12_34-4p2_4s4_5c2_6i4-1,12,22
ctrnact-12_34-4p2_4s4_5c2_6i4-2,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-1,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-10,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-11,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-12,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-13,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-14,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-15,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-16,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-18,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-19,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-2,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-22,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-25,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-29,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-3,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-4,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-5,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-6,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-7,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-8,12,22
ctrnact-12_34-4p2_4s4_5c4_6i2-9,12,22
ctrnact-12_34-4p2_4s4_5c6-1,12,22
ctrnact-12_34-4p2_4s4_5c6-10,12,22
ctrnact-12_34-4p2_4s4_5c6-11,12,22
ctrnact-12_34-4p2_4s4_5c6-12,12,22
ctrnact-12_34-4p2_4s4_5c6-13,12,22
ctrnact-12_34-4p2_4s4_5c6-15,12,22
ctrnact-12_34-4p2_4s4_5c6-19,12,22
ctrnact-12_34-4p2_4s4_5c6-2,12,22
ctrnact-12_34-4p2_4s4_5c6-20,12,22
ctrnact-12_34-4p2_4s4_5c6-3,12,22
ctrnact-12_34-4p2_4s4_5c6-4,12,22
ctrnact-12_34-4p2_4s4_5c6-5,12,22
ctrnact-12_34-4p2_4s4_5c6-6,12,22
ctrnact-12_34-4p2_4s4_5c6-7,12,22
ctrnact-12_34-4p2_4s4_5c6-8,12,22
ctrnact-12_34-4p2_4s4_5c6-9,12,22
ctrnact-12_34-4p2_4s5_5c2_6i3-1,12,22
ctrnact-12_34-4p2_4s5_5c2_6i3-2,12,22
