id,k,family,wt_u,ratio_u,wt_v,ratio_v,required_c,required_c2,exact
ctrnact-09_346-4f_4k_4u7-1,9,3.4.6,2,1.000000,34,2.028409,2.028409,4.114442,0
ctrnact-09_346-4h_4k2_4u6-14,9,3.4.6,2,1.000000,35,2.000834,2.000834,4.003335,0
ctrnact-09_346-4h_4k2_4u6-15,9,3.4.6,2,1.000000,35,2.000834,2.000834,4.003335,0
ctrnact-09_346-4h_4k2_4u6-22,9,3.4.6,2,1.000000,35,2.000834,2.000834,4.003335,0
ctrnact-09_346-4h_4k2_4u6-23,9,3.4.6,2,1.000000,35,2.000834,2.000834,4.003335,0
ctrnact-09_346-4h_4k2_4u6-30,9,3.4.6,2,1.000000,35,2.000834,2.000834,4.003335,0
ctrnact-09_346-4h_4k2_4u6-6,9,3.4.6,2,1.000000,35,2.000834,2.000834,4.003335,0
ctrnact-09_346-4h_4k2_4u6-7,9,3.4.6,2,1.000000,35,2.000834,2.000834,4.003335,0
ctrnact-09_346-4h_4k2_4r_4u5-10,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4r_4u5-12,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4r_4u5-18,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4r_4u5-2,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4r_4u5-20,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4r_4u5-4,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4s_4u5-1,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4s_4u5-11,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4s_4u5-17,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4s_4u5-19,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4s_4u5-3,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4h_4k2_4s_4u5-9,9,3.4.6,2,1.000000,33,2.000674,2.000674,4.002696,0
ctrnact-09_346-4f_4k_4u7-2,9,3.4.6,2,1.000000,33,1.972263,1.972263,3.889820,0
ctrnact-09_346-4f_4h_4j_4k_4u5-1,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-1,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-13,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-17,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-21,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-25,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-29,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-33,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-37,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-5,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4f_4h_4k3_4u4-9,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4h_4k2_4u4_5d_6i-10,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4h_4k2_4u4_5d_6i-14,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4h_4k2_4u4_5d_6i-18,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4h_4k2_4u4_5d_6i-2,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4h_4k2_4u4_5d_6i-6,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4h_4k_4u5_5b_6i-2,9,3.4.6,2,1.000000,32,1.972023,1.972023,3.888873,0
ctrnact-09_346-4h_4k2_4u6-13,9,3.4.6,2,1.000000,34,1.946851,1.946851,3.790228,0
ctrnact-09_346-4h_4k2_4u6-16,9,3.4.6,2,1.000000,34,1.946851,1.946851,3.790228,0
ctrnact-09_346-4h_4k2_4u6-21,9,3.4.6,2,1.000000,34,1.946851,1.946851,3.790228,0
ctrnact-09_346-4h_4k2_4u6-24,9,3.4.6,2,1.000000,34,1.946851,1.946851,3.790228,0
ctrnact-09_346-4h_4k2_4u6-5,9,3.4.6,2,1.000000,34,1.946851,1.946851,3.790228,0
ctrnact-09_346-4h_4k2_4u6-8,9,3.4.6,2,1.000000,34,1.946851,1.946851,3.790228,0
ctrnact-09_346-4h2_4j_4k2_4u4-10,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4j_4k2_4u4-11,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4j_4k2_4u4-18,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4j_4k2_4u4-19,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4j_4k2_4u4-26,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-101,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-118,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-119,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-150,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-151,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-274,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-278,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-50,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-54,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-58,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-62,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-66,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-70,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-74,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-78,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-81,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-85,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-89,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-93,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h2_4k4_4u3-97,9,3.4.6,2,1.000000,33,1.946017,1.946017,3.786982,0
ctrnact-09_346-4h_4k2_4r_4u5-1,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4r_4u5-11,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4r_4u5-17,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4r_4u5-19,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4r_4u5-3,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4r_4u5-9,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4s_4u5-10,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4s_4u5-12,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4s_4u5-18,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4s_4u5-2,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4s_4u5-20,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h_4k2_4s_4u5-4,9,3.4.6,2,1.000000,32,1.943623,1.943623,3.777669,0
ctrnact-09_346-4h2_4j_4k2_4r_4u3-10,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4j_4k2_4r_4u3-12,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4j_4k2_4r_4u3-2,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4j_4k2_4r_4u3-4,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4j_4k2_4s_4u3-1,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4j_4k2_4s_4u3-11,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4j_4k2_4s_4u3-3,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4j_4k2_4s_4u3-9,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-13,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-15,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-17,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-19,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-21,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-23,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-28,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-30,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-52,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-54,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-82,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4r_4u2-86,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4s_4u2-1,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4s_4u2-11,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4s_4u2-27,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
ctrnact-09_346-4h2_4k4_4s_4u2-29,9,3.4.6,2,1.000000,31,1.942409,1.942409,3.772953,0
