idx,name,verdict,reason,killDepth,collapses,promotions,frontier,ms
0,"[3,3,3,3,3,3;3,3,3,3,6]",survived,wall,-1,5,0,13,2405
1,"[3,3,3,3,3,3;3,3,3,3,6]",survived,wall,-1,5,0,14,2815
2,"[3,3,3,3,3,3;3,3,3,4,4]",survived,timecap,-1,12,0,16,10727
3,"[3,3,3,3,3,3;3,3,4,3,4]",survived,wall,-1,5,0,12,1891
4,"[3,3,3,3,3,3;3,3,4,12]",survived,timecap,-1,15,1,12,11295
5,"[3,3,3,3,3,3;3,3,6,6]",survived,timecap,-1,14,1,18,11396
6,"[3,3,3,3,6;3,3,3,4,4]",killed,entropy0,3,3,0,8,361
7,"[3,3,3,3,6;3,3,3,4,4]",killed,entropy0,4,4,0,9,454
8,"[3,3,3,3,6;3,3,4,3,4]",killed,entropy0,1,1,0,7,103
9,"[3,3,3,3,6;3,3,4,12]",killed,entropy0,1,1,0,5,111
10,"[3,3,3,3,6;3,3,6,6]",survived,wall,-1,1,0,8,102
11,"[3,3,3,3,6;3,3,6,6]",survived,wall,-1,1,0,7,117
12,"[3,3,3,3,6;3,6,3,6]",survived,wall,-1,1,0,7,94
13,"[3,3,3,4,4;3,3,4,3,4]",survived,wall,-1,4,0,13,761
14,"[3,3,3,4,4;3,3,4,3,4]",survived,wall,-1,1,0,9,132
15,"[3,3,3,4,4;3,3,4,3,4]",survived,wall,-1,2,0,10,271
16,"[3,3,3,4,4;3,3,4,12]",killed,entropy0,2,2,0,8,240
17,"[3,3,3,4,4;3,4,4,6]",killed,entropy0,2,2,0,9,190
18,"[3,3,3,4,4;3,4,6,4]",survived,budget,-1,16,0,14,8661
19,"[3,3,3,4,4;4,4,4,4]",survived,budget,-1,16,0,17,11376
20,"[3,3,4,12;3,3,4,3,4]",killed,entropy0,2,2,0,8,178
21,"[3,3,4,3,4;3,4,3,12]",killed,entropy0,5,5,0,11,669
22,"[3,3,4,3,4;3,4,4,6]",killed,entropy0,5,5,0,10,805
23,"[3,3,4,3,4;3,4,6,4]",survived,wall,-1,6,0,13,841
24,"[3,3,4,3,4;3,4,6,4]",survived,wall,-1,8,0,14,1534
25,"[3,3,4,12;3,4,3,12]",killed,surrounded-disallowed,4,4,0,6,505
26,"[3,3,4,12;3,4,3,12]",killed,surrounded-disallowed,4,4,0,6,387
27,"[3,3,4,12;3,4,6,4]",killed,surrounded-disallowed,2,2,0,6,117
28,"[3,12,12;3,3,12,4]",killed,entropy0,2,2,0,5,107
29,"[3,3,4,12;4,6,12]",killed,entropy0,1,1,0,5,60
30,"[3,3,6,6;3,6,3,6]",survived,budget,-1,16,0,22,9044
31,"[3,3,6,6;6,6,6]",killed,entropy0,1,1,0,6,29
32,"[3,4,3,12;3,4,6,4]",killed,entropy0,2,2,0,6,100
33,"[3,12,12;3,4,3,12]",survived,wall,-1,7,3,8,853
34,"[3,4,4,6;3,4,6,4]",survived,wall,-1,1,0,6,100
35,"[3,4,4,6;3,4,6,4]",survived,wall,-1,2,0,8,209
36,"[3,4,4,6;3,6,3,6]",survived,timecap,-1,16,0,25,11725
37,"[3,4,4,6;4,4,4,4]",killed,entropy0,2,2,0,7,110
38,"[3,4,4,6;4,12,6]",killed,entropy0,1,1,0,6,42
39,"[3,4,6,4;4,12,6]",survived,wall,-1,11,2,14,2824
