idx,name,verdict,reason,killDepth,collapses,promotions,frontier,ms
0,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,wall,-1,4,0,13,2261
1,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,11,0,18,11686
2,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,wall,-1,10,0,18,12371
3,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,10,0,20,11961
4,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,10,0,20,11421
5,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,11,0,18,11886
6,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,10,0,20,11811
7,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,10,0,20,12221
8,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,10,0,18,10213
9,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,10,0,18,10189
10,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,11,0,18,11949
11,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,10,0,18,10279
12,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,wall,-1,4,0,13,2349
13,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,10,0,20,11054
14,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,timecap,-1,9,0,22,11846
15,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6]",survived,wall,-1,4,0,14,2677
16,"[3,3,3,3,3,3;3,3,3,3,3,3;3,3,3,3,6]",survived,wall,-1,5,0,14,3446
17,"[3,3,3,3,3,3;3,3,3,3,3,3;3,3,3,3,6]",survived,wall,-1,5,0,15,4038
18,"[3,3,3,3,3,3;3,3,3,3,3,3;3,3,3,3,6]",survived,wall,-1,6,0,15,5013
19,"[3,3,3,3,3,3;3,3,3,3,3,3;3,3,3,3,6]",survived,wall,-1,5,0,14,3609
20,"[3,3,3,3,3,3;3,3,3,3,3,3;3,3,3,3,6]",survived,wall,-1,5,0,15,4061
21,"[3,3,3,3,3,3;3,3,3,3,3,3;3,3,3,3,6]",survived,wall,-1,5,0,16,4584
22,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,3,3]",survived,wall,-1,5,0,14,3553
23,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,11,0,18,12341
24,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,11,0,17,11090
25,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,10,0,17,10104
26,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,10,0,17,10099
27,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,11,0,17,11266
28,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,11,0,18,12653
29,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,11,0,18,12438
30,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,10,0,17,10397
31,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",killed,entropy0,1,1,0,8,357
32,"[3,3,3,3,3,3;3,3,3,3,6;3,3,3,4,4]",survived,timecap,-1,10,0,17,10640
33,"[3,3,3,3,3,3;3,3,3,3,6;3,3,4,3,4]",killed,entropy0,1,1,0,9,310
34,"[3,3,3,3,3,3;3,3,3,3,6;3,3,4,3,4]",killed,entropy0,1,1,0,9,316
35,"[3,3,3,3,3,3;3,3,3,3,6;3,3,12,4]",killed,entropy0,1,1,0,7,285
36,"[3,3,3,3,3,3;3,3,3,3,6;3,3,4,12]",killed,entropy0,1,1,0,7,303
37,"[3,3,3,3,3,3;3,3,3,3,6;3,3,6,6]",survived,wall,-1,1,0,9,415
38,"[3,3,3,3,3,3;3,3,3,3,6;3,3,6,6]",survived,wall,-1,2,1,11,989
39,"[3,3,3,3,3,3;3,3,3,3,6;3,3,6,6]",survived,wall,-1,1,0,9,547
40,"[3,3,3,3,3,3;3,3,3,3,6;3,3,6,6]",survived,wall,-1,2,0,9,830
41,"[3,3,3,3,3,3;3,3,3,3,6;3,3,6,6]",survived,wall,-1,1,0,10,525
42,"[3,3,3,3,3,3;3,3,3,3,6;3,3,6,6]",survived,wall,-1,2,0,9,788
43,"[3,3,3,3,3,3;3,3,3,3,6;3,3,6,6]",survived,wall,-1,1,0,9,544
44,"[3,3,3,3,3,3;3,3,3,3,6;3,3,6,6]",survived,wall,-1,1,0,10,591
45,"[3,3,3,3,3,3;3,3,3,3,6;3,6,3,6]",survived,wall,-1,2,0,10,889
46,"[3,3,3,3,3,3;3,3,3,3,6;3,6,3,6]",survived,wall,-1,1,0,8,446
47,"[3,3,3,3,3,3;3,3,3,4,4;3,3,3,4,4]",survived,timecap,-1,11,0,16,11136
48,"[3,3,3,3,3,3;3,3,3,4,4;3,3,3,4,4]",killed,entropy0,2,2,0,9,546
49,"[3,3,3,3,3,3;3,3,3,4,4;3,3,3,4,4]",survived,timecap,-1,12,0,16,10143
50,"[3,3,3,3,3,3;3,3,3,4,4;3,3,3,4,4]",killed,entropy0,2,2,0,9,622
