n,k,sStar,wtU,wtV,lenU,lenV,H
1,1,2,1,2,1.000000,1.931852,1.866025
2,2,3,1,3,1.000000,2.732051,2.732051
3,2,4,1,4,1.000000,3.632651,3.598076
4,3,5,1,5,1.000000,4.464102,4.464102
5,3,6,1,6,1.000000,5.353527,5.330127
6,4,7,1,7,1.000000,6.196152,6.196152
7,4,8,1,8,1.000000,7.079856,7.062178
8,5,9,1,9,1.000000,7.928203,7.928203
9,5,10,1,10,1.000000,8.808431,8.794229
10,6,11,1,11,1.000000,9.660254,9.660254
11,6,12,1,12,1.000000,10.538148,10.526279
12,7,13,1,13,1.000000,11.392305,11.392305
13,7,14,1,14,1.000000,12.268523,12.258330
14,8,15,1,15,1.000000,13.124356,13.124356
15,8,16,1,16,1.000000,13.999313,13.990381
16,9,17,1,17,1.000000,14.856406,14.856406
17,9,18,1,18,1.000000,15.730380,15.722432
18,10,19,1,19,1.000000,16.588457,16.588457
19,10,20,1,20,1.000000,17.461643,17.454483
20,11,21,1,21,1.000000,18.320508,18.320508
21,11,22,1,22,1.000000,19.193047,19.186533
22,12,23,1,23,1.000000,20.052559,20.052559
23,12,24,1,24,1.000000,20.924559,20.918584
24,13,25,1,25,1.000000,21.784610,21.784610
25,13,26,1,26,1.000000,22.656153,22.650635
