
=== strip s*-scaling run 2026-07-09 13:16:23  NMAX=25 ===
[13:16:23] family = (square)(triangle)^n, mirror-symmetric layered word; n=1..25
[13:16:23] n= 1  k= 1  s*= 2  wt=(1,2)  H= 1.866  s*-2k=+0  [1/25  this   0.0s  tot     0s]
[13:16:23] n= 2  k= 2  s*= 3  wt=(1,3)  H= 2.732  s*-2k=-1  [2/25  this   0.0s  tot     0s]
[13:16:23] n= 3  k= 2  s*= 4  wt=(1,4)  H= 3.598  s*-2k=+0  [3/25  this   0.0s  tot     0s]
[13:16:23] n= 4  k= 3  s*= 5  wt=(1,5)  H= 4.464  s*-2k=-1  [4/25  this   0.0s  tot     0s]
[13:16:23] n= 5  k= 3  s*= 6  wt=(1,6)  H= 5.330  s*-2k=+0  [5/25  this   0.0s  tot     0s]
[13:16:23] n= 6  k= 4  s*= 7  wt=(1,7)  H= 6.196  s*-2k=-1  [6/25  this   0.0s  tot     0s]
[13:16:23] n= 7  k= 4  s*= 8  wt=(1,8)  H= 7.062  s*-2k=+0  [7/25  this   0.0s  tot     0s]
[13:16:23] n= 8  k= 5  s*= 9  wt=(1,9)  H= 7.928  s*-2k=-1  [8/25  this   0.0s  tot     0s]
[13:16:23] n= 9  k= 5  s*=10  wt=(1,10)  H= 8.794  s*-2k=+0  [9/25  this   0.0s  tot     0s]
[13:16:23] n=10  k= 6  s*=11  wt=(1,11)  H= 9.660  s*-2k=-1  [10/25  this   0.0s  tot     0s]
[13:16:23] n=11  k= 6  s*=12  wt=(1,12)  H=10.526  s*-2k=+0  [11/25  this   0.1s  tot     0s]
[13:16:24] n=12  k= 7  s*=13  wt=(1,13)  H=11.392  s*-2k=-1  [12/25  this   0.1s  tot     0s]
[13:16:24] n=13  k= 7  s*=14  wt=(1,14)  H=12.258  s*-2k=+0  [13/25  this   0.3s  tot     1s]
[13:16:24] n=14  k= 8  s*=15  wt=(1,15)  H=13.124  s*-2k=-1  [14/25  this   0.5s  tot     1s]
[13:16:25] n=15  k= 8  s*=16  wt=(1,16)  H=13.990  s*-2k=+0  [15/25  this   0.8s  tot     2s]
[13:16:26] n=16  k= 9  s*=17  wt=(1,17)  H=14.856  s*-2k=-1  [16/25  this   1.3s  tot     3s]
[13:16:29] n=17  k= 9  s*=18  wt=(1,18)  H=15.722  s*-2k=+0  [17/25  this   2.3s  tot     5s]
[13:16:32] n=18  k=10  s*=19  wt=(1,19)  H=16.588  s*-2k=-1  [18/25  this   3.6s  tot     9s]
[13:16:38] n=19  k=10  s*=20  wt=(1,20)  H=17.454  s*-2k=+0  [19/25  this   5.9s  tot    15s]
[13:16:47] n=20  k=11  s*=21  wt=(1,21)  H=18.321  s*-2k=-1  [20/25  this   9.1s  tot    24s]
[13:17:02] n=21  k=11  s*=22  wt=(1,22)  H=19.187  s*-2k=+0  [21/25  this  14.6s  tot    39s]
[13:17:24] n=22  k=12  s*=23  wt=(1,23)  H=20.053  s*-2k=-1  [22/25  this  22.1s  tot    61s]
[13:17:57] n=23  k=12  s*=24  wt=(1,24)  H=20.919  s*-2k=+0  [23/25  this  33.4s  tot    94s]
[13:18:45] n=24  k=13  s*=25  wt=(1,25)  H=21.785  s*-2k=-1  [24/25  this  47.5s  tot   142s]
[13:19:56] n=25  k=13  s*=26  wt=(1,26)  H=22.651  s*-2k=+0  [25/25  this  71.4s  tot   213s]
[13:19:56] done in 213.0s -> /Users/alessandro/Desktop/University/Thesis/TilingAtlas/experiments/results/strip-sstar-2026-07-09.csv
