src,id,k,sStar,wtU,wtV,lenU,lenV
oracle,t1001,1,2,2,2,1.732051,1.732051
oracle,t1003,1,5,5,5,4.732051,4.732051
oracle,t1004,1,4,4,4,3.732051,3.732051
oracle,t1005,1,1,1,1,1.000000,1.000000
oracle,t1006,1,3,3,3,2.732051,2.732051
oracle,t1007,1,2,2,2,2.000000,2.000000
oracle,t1008,1,2,1,2,1.000000,1.931852
oracle,t1009,1,2,2,2,1.931852,1.931852
oracle,t1010,1,3,3,3,2.645751,2.645751
oracle,t1011,1,1,1,1,1.000000,1.000000
oracle,t2001,2,6,6,6,5.464102,5.464102
oracle,t2002,2,4,4,4,3.732051,3.732051
oracle,t2003,2,4,1,4,1.000000,3.898224
oracle,t2004,2,3,1,3,1.000000,2.909313
oracle,t2005,2,5,5,5,4.732051,4.732051
oracle,t2006,2,3,2,3,2.000000,2.909313
oracle,t2007,2,3,2,3,2.000000,2.732051
oracle,t2008,2,4,4,4,3.732051,3.732051
oracle,t2009,2,4,4,4,3.732051,3.732051
oracle,t2010,2,3,3,3,3.000000,3.000000
oracle,t2011,2,2,2,2,1.732051,2.000000
oracle,t2012,2,3,2,3,1.732051,2.645751
oracle,t2013,2,5,5,5,4.732051,4.732051
oracle,t2014,2,3,1,3,1.000000,2.732051
oracle,t2015,2,4,1,4,1.000000,3.632651
oracle,t2016,2,4,4,4,3.346065,3.346065
oracle,t2017,2,4,2,4,1.931852,3.863703
oracle,t2018,2,3,3,3,2.732051,2.732051
oracle,t2019,2,3,3,3,3.000000,3.000000
oracle,t2020,2,4,4,4,3.605551,3.605551
oracle,t3001,3,5,5,5,5.000000,5.000000
oracle,t3002,3,4,2,4,1.732051,3.605551
oracle,t3003,3,4,2,4,1.732051,4.000000
oracle,t3004,3,4,4,4,3.464102,3.464102
oracle,t3005,3,7,7,7,6.732051,6.732051
oracle,t3006,3,5,5,5,4.732051,4.732051
oracle,t3007,3,7,7,7,6.464102,6.464102
oracle,t3008,3,7,7,7,6.464102,6.464102
oracle,t3009,3,5,4,5,3.732051,4.625182
oracle,t3010,3,6,1,6,1.000000,5.887296
oracle,t3011,3,5,2,5,2.000000,4.836559
oracle,t3012,3,5,2,5,2.000000,4.732051
oracle,t3013,3,6,1,6,1.000000,5.732051
oracle,t3014,3,5,1,5,1.000000,4.732051
oracle,t3015,3,6,1,6,1.000000,5.620361
oracle,t3016,3,5,1,5,1.000000,4.891646
oracle,t3017,3,4,2,4,2.000000,3.863703
oracle,t3018,3,4,2,4,2.000000,3.732051
oracle,t3019,3,5,1,5,1.000000,4.732051
oracle,t3020,3,4,1,4,1.000000,3.732051
oracle,t3021,3,5,1,5,1.000000,4.625182
oracle,t3022,3,4,4,4,3.863703,3.863703
oracle,t3023,3,3,3,3,2.909313,2.909313
oracle,t3024,3,5,5,5,4.732051,4.732051
oracle,t3025,3,3,3,3,2.909313,2.909313
oracle,t3026,3,6,6,6,5.464102,5.464102
oracle,t3027,3,4,3,4,3.000000,3.898224
oracle,t3028,3,6,2,6,2.000000,5.554854
oracle,t3029,3,5,2,5,2.000000,4.574735
oracle,t3030,3,5,2,5,2.000000,4.464102
oracle,t3031,3,5,2,5,2.000000,4.464102
oracle,t3032,3,5,2,5,2.000000,4.574735
oracle,t3033,3,3,3,3,2.732051,3.000000
oracle,t3034,3,5,5,5,4.732051,4.732051
oracle,t3035,3,7,7,7,6.464102,6.464102
oracle,t3036,3,5,5,5,4.732051,4.732051
oracle,t3037,3,5,5,5,4.732051,4.732051
oracle,t3038,3,4,3,4,3.000000,3.464102
oracle,t3039,3,4,2,4,2.000000,3.605551
oracle,t3040,3,3,2,3,1.732051,3.000000
oracle,t3041,3,4,2,4,1.732051,3.605551
oracle,t3042,3,4,4,4,4.000000,4.000000
oracle,t3043,3,4,4,4,3.464102,3.464102
oracle,t3044,3,4,2,4,2.000000,3.605551
oracle,t3045,3,6,2,6,2.000000,5.196152
oracle,t3046,3,3,2,3,2.000000,2.645751
oracle,t3047,3,6,6,6,5.732051,5.732051
oracle,t3048,3,6,6,6,5.464102,5.464102
oracle,t3049,3,5,1,5,1.000000,4.464102
oracle,t3050,3,6,1,6,1.000000,5.353527
oracle,t3051,3,5,1,5,1.000000,4.625182
oracle,t3052,3,6,1,6,1.000000,5.464102
oracle,t3053,3,6,2,6,1.931852,5.795555
oracle,t3054,3,4,4,4,3.732051,3.732051
oracle,t3055,3,3,2,3,1.931852,2.909313
oracle,t3056,3,5,5,5,4.464102,4.464102
oracle,t3057,3,4,4,4,3.732051,3.732051
oracle,t3058,3,4,4,4,3.464102,3.464102
oracle,t3059,3,4,4,4,4.000000,4.000000
oracle,t3060,3,5,5,5,4.358899,4.358899
oracle,t3061,3,3,3,3,2.645751,2.645751
oracle,t4001,4,6,6,6,6.000000,6.000000
oracle,t4002,4,6,6,6,6.000000,6.000000
oracle,t4003,4,6,3,6,3.000000,5.537170
oracle,t4004,4,5,3,5,3.000000,4.582576
oracle,t4005,4,6,3,6,3.000000,5.196152
oracle,t4006,4,7,7,7,6.196152,6.196152
oracle,t4007,4,6,6,6,5.196152,5.196152
oracle,t4008,4,6,6,6,6.000000,6.000000
oracle,t4009,4,6,6,6,5.291503,5.291503
oracle,t4010,4,6,6,6,5.567764,5.567764
oracle,t4011,4,6,2,6,1.732051,5.567764
oracle,t4012,4,5,2,5,1.732051,4.582576
oracle,t4013,4,5,2,5,1.732051,5.000000
oracle,t4014,4,6,6,6,5.196152,5.196152
oracle,t4015,4,5,2,5,1.732051,5.000000
oracle,t4016,4,6,2,6,1.732051,5.567764
oracle,t4017,4,5,5,5,4.582576,4.582576
oracle,t4018,4,5,3,5,3.000000,4.464102
oracle,t4019,4,4,3,4,3.000000,3.464102
oracle,t4020,4,5,3,5,3.000000,4.582576
oracle,t4021,4,4,4,4,3.605551,3.605551
oracle,t4022,4,6,6,6,5.196152,5.196152
oracle,t4023,4,4,4,4,3.605551,3.605551
oracle,t4024,4,4,4,4,4.000000,4.000000
oracle,t4025,4,9,9,9,8.196152,8.196152
oracle,t4026,4,8,8,8,7.732051,7.732051
oracle,t4027,4,8,8,8,7.196152,7.196152
oracle,t4028,4,9,9,9,8.196152,8.196152
oracle,t4029,4,9,9,9,8.196152,8.196152
oracle,t4030,4,5,5,5,4.625182,4.625182
oracle,t4031,4,8,8,8,7.464102,7.464102
oracle,t4032,4,8,8,8,7.464102,7.464102
oracle,t4033,4,8,8,8,7.209769,7.209769
oracle,t4034,4,7,7,7,6.464102,6.464102
oracle,t4035,4,7,7,7,6.464102,6.464102
oracle,t4036,4,5,4,5,3.732051,4.732051
oracle,t4037,4,6,4,6,3.732051,5.554854
oracle,t4038,4,8,1,8,1.000000,7.881901
oracle,t4039,4,7,2,7,2.000000,6.805917
oracle,t4040,4,7,2,7,2.000000,6.732051
oracle,t4041,4,8,1,8,1.000000,7.732051
oracle,t4042,4,7,1,7,1.000000,6.732051
oracle,t4043,4,8,1,8,1.000000,7.614510
oracle,t4044,4,8,2,8,2.000000,7.530791
oracle,t4045,4,8,2,8,2.000000,7.464102
oracle,t4046,4,7,2,7,2.000000,6.540995
oracle,t4047,4,7,2,7,2.000000,6.464102
oracle,t4048,4,8,2,8,2.000000,7.464102
oracle,t4049,4,8,2,8,2.000000,7.530791
oracle,t4050,4,7,2,7,2.000000,6.464102
oracle,t4051,4,7,2,7,2.000000,6.540995
oracle,t4052,4,7,1,7,1.000000,6.732051
oracle,t4053,4,8,1,8,1.000000,7.614510
oracle,t4054,4,8,1,8,1.000000,7.464102
oracle,t4055,4,7,1,7,1.000000,6.464102
