3.3.3                        D=1   k=1 V=4    E=6    F=4    rho=1.910633236  4x{3/1}
3.3.3.3                      D=1   k=1 V=6    E=12   F=8    rho=1.570796327  8x{3/1}
3.3.3.3.3                    D=1   k=1 V=12   E=30   F=20   rho=1.107148718  20x{3/1}
3.3.3.3.3                    D=7   k=1 V=12   E=30   F=20   rho=2.034443936  20x{3/1}
5.3.3.3                      D=1   k=1 V=10   E=20   F=12   rho=1.107148718  10x{3/1} 2x{5/1}
5.3.3.3.3                    D=1   k=1 V=60   E=150  F=92   rho=0.468119426  80x{3/1} 12x{5/1}
5.3.5.3                      D=1   k=1 V=30   E=60   F=32   rho=0.628318531  20x{3/1} 12x{5/1}
5.3.5.3.5.3                  D=6   k=1 V=20   E=60   F=32   rho=1.230959417  20x{3/1} 12x{5/1}
5.5.5                        D=1   k=1 V=20   E=30   F=12   rho=0.729727656  12x{5/1}
5.5.5.5.5                    D=3   k=1 V=12   E=30   F=12   rho=1.107148718  12x{5/1}
5/2.3.3.3                    D=2   k=1 V=10   E=20   F=12   rho=1.731849112  10x{3/1} 2x{5/2}
5/2.3.3.3                    D=3   k=1 V=10   E=20   F=12   rho=2.034443936  10x{3/1} 2x{5/2}
5/2.3.3.3.3                  D=13  k=1 V=60   E=150  F=92   rho=1.773966631  80x{3/1} 12x{5/2}
5/2.3.3.3.3                  D=37  k=1 V=60   E=150  F=92   rho=2.078667352  80x{3/1} 12x{5/2}
5/2.3.3.3.3                  D=7   k=1 V=60   E=150  F=92   rho=1.318905721  80x{3/1} 12x{5/2}
5/2.3.3.3.3.3                D=2   k=1 V=60   E=180  F=112  rho=0.699985009  100x{3/1} 12x{5/2}
5/2.3.3.3.3.3                D=38  k=1 V=60   E=180  F=112  rho=2.074612628  100x{3/1} 12x{5/2}
5/2.3.5.3.3                  D=3   k=1 V=60   E=150  F=84   rho=0.806324936  60x{3/1} 12x{5/1} 12x{5/2}
5/2.3.5.3.3                  D=9   k=1 V=60   E=150  F=84   rho=1.254966444  60x{3/1} 12x{5/1} 12x{5/2}
5/2.3.5.3.3.3                D=4   k=1 V=60   E=180  F=104  rho=0.919437143  80x{3/1} 12x{5/1} 12x{5/2}
5/2.3.5/2.3                  D=7   k=1 V=30   E=60   F=32   rho=1.884955592  20x{3/1} 12x{5/2}
5/2.3.5/2.3.5/2.3            D=2   k=1 V=20   E=60   F=32   rho=1.230959417  20x{3/1} 12x{5/2}
5/2.5.5/2.5                  D=3   k=1 V=30   E=60   F=24   rho=1.047197551  12x{5/1} 12x{5/2}
5/2.5/2.5/2                  D=7   k=1 V=20   E=30   F=12   rho=2.411864997  12x{5/2}
5/2.5/2.5/2.5/2.5/2          D=3   k=1 V=12   E=30   F=12   rho=2.034443936  12x{5/2}
records: 25
